"","tractid","id","N","population","fire_per_1000"
"1","01001020100","1400000US01001020100",1,1912,0.523012552301255
"2","01001020200","1400000US01001020200",3,2170,1.38248847926267
"3","01001020300","1400000US01001020300",4,3373,1.18588793359028
"4","01001020500","1400000US01001020500",7,10766,0.650195058517555
"5","01001020600","1400000US01001020600",4,3668,1.09051254089422
"6","01001020700","1400000US01001020700",8,2891,2.76720857834659
"7","01001020801","1400000US01001020801",1,3081,0.324569944823109
"8","01001020802","1400000US01001020802",7,10435,0.670819357930043
"9","01001021100","1400000US01001021100",3,3320,0.903614457831325
"10","01003010200","1400000US01003010200",2,2902,0.689179875947622
"11","01003010300","1400000US01003010300",4,7826,0.511116790186558
"12","01003010400","1400000US01003010400",1,4736,0.211148648648649
"13","01003010500","1400000US01003010500",6,4815,1.24610591900312
"14","01003010600","1400000US01003010600",5,3325,1.50375939849624
"15","01003010701","1400000US01003010701",3,7882,0.380614057345851
"16","01003010703","1400000US01003010703",9,13166,0.683578915388121
"17","01003010704","1400000US01003010704",3,5055,0.593471810089021
"18","01003010705","1400000US01003010705",4,8331,0.48013443764254
"19","01003010800","1400000US01003010800",5,6861,0.728756740999854
"20","01003010904","1400000US01003010904",2,6831,0.292782901478554
"21","01003010905","1400000US01003010905",4,8011,0.49931344401448
"22","01003011000","1400000US01003011000",2,4305,0.464576074332172
"23","01003011101","1400000US01003011101",6,8397,0.714540907466952
"24","01003011102","1400000US01003011102",2,3715,0.53835800807537
"25","01003011201","1400000US01003011201",7,4230,1.6548463356974
"26","01003011202","1400000US01003011202",4,5065,0.789733464955577
"27","01003011300","1400000US01003011300",5,4487,1.11433028749721
"28","01003011401","1400000US01003011401",5,10632,0.470278404815651
"29","01003011403","1400000US01003011403",2,9131,0.219034059796298
"30","01003011405","1400000US01003011405",3,3832,0.782881002087683
"31","01003011406","1400000US01003011406",8,3412,2.34466588511137
"32","01003011407","1400000US01003011407",11,4799,2.29214419670765
"33","01003011501","1400000US01003011501",2,5316,0.376222723852521
"34","01003011502","1400000US01003011502",5,10534,0.474653502942852
"35","01003011601","1400000US01003011601",8,6062,1.31969646981194
"36","01003011602","1400000US01003011602",6,4895,1.22574055158325
"37","01005950200","1400000US01005950200",3,4264,0.703564727954972
"38","01005950300","1400000US01005950300",2,1638,1.22100122100122
"39","01005950400","1400000US01005950400",3,4303,0.697188008366256
"40","01005950700","1400000US01005950700",1,1727,0.579038795599305
"41","01005950800","1400000US01005950800",1,2055,0.48661800486618
"42","01005950900","1400000US01005950900",2,4583,0.436395374209033
"43","01007010003","1400000US01007010003",1,5391,0.185494342422556
"44","01009050101","1400000US01009050101",9,7858,1.14532960040723
"45","01009050102","1400000US01009050102",8,7050,1.13475177304965
"46","01009050200","1400000US01009050200",4,3789,1.05568751649512
"47","01009050300","1400000US01009050300",9,5269,1.70810400455494
"48","01009050400","1400000US01009050400",5,4451,1.12334306897326
"49","01009050500","1400000US01009050500",19,7329,2.59244098785646
"50","01009050601","1400000US01009050601",1,3922,0.254971953085161
"51","01009050602","1400000US01009050602",3,8923,0.336209794912025
"52","01009050700","1400000US01009050700",3,8731,0.34360325277746
"53","01013952700","1400000US01013952700",1,2439,0.410004100041
"54","01013952800","1400000US01013952800",4,1394,2.86944045911047
"55","01013952900","1400000US01013952900",3,2180,1.37614678899083
"56","01013953000","1400000US01013953000",11,1469,7.48808713410483
"57","01013953100","1400000US01013953100",6,3023,1.98478332782005
"58","01013953200","1400000US01013953200",4,4327,0.924428010168708
"59","01013953300","1400000US01013953300",2,1774,1.12739571589628
"60","01013953400","1400000US01013953400",1,2931,0.341180484476288
"61","01013953500","1400000US01013953500",2,1410,1.41843971631206
"62","01015000700","1400000US01015000700",1,2715,0.368324125230203
"63","01015001100","1400000US01015001100",1,6565,0.152322924600152
"64","01015001201","1400000US01015001201",1,3482,0.287191269385411
"65","01015001400","1400000US01015001400",1,3731,0.268024658268561
"66","01015001500","1400000US01015001500",5,5198,0.961908426317814
"67","01015001800","1400000US01015001800",4,6919,0.578118225177049
"68","01015002000","1400000US01015002000",3,7335,0.408997955010225
"69","01015002101","1400000US01015002101",1,3992,0.250501002004008
"70","01015002102","1400000US01015002102",1,3411,0.293169158604515
"71","01015002103","1400000US01015002103",4,6801,0.588148801646817
"72","01015002300","1400000US01015002300",3,3843,0.78064012490242
"73","01015002501","1400000US01015002501",12,7069,1.6975526948649
"74","01015002502","1400000US01015002502",1,4661,0.214546234713581
"75","01017953800","1400000US01017953800",2,3619,0.552638850511191
"76","01017954000","1400000US01017954000",1,6669,0.149947518368571
"77","01017954200","1400000US01017954200",5,3257,1.53515505066012
"78","01017954300","1400000US01017954300",2,4708,0.424808836023789
"79","01017954400","1400000US01017954400",1,995,1.00502512562814
"80","01017954500","1400000US01017954500",2,3804,0.525762355415352
"81","01019955701","1400000US01019955701",4,3332,1.20048019207683
"82","01019955702","1400000US01019955702",13,3872,3.35743801652893
"83","01019955800","1400000US01019955800",4,5561,0.719295090811005
"84","01019955900","1400000US01019955900",6,4235,1.41676505312869
"85","01019956100","1400000US01019956100",4,4972,0.80450522928399
"86","01021060101","1400000US01021060101",6,5219,1.14964552596283
"87","01021060102","1400000US01021060102",8,6303,1.26923687133111
"88","01021060200","1400000US01021060200",4,2807,1.42500890630566
"89","01021060300","1400000US01021060300",2,3808,0.525210084033613
"90","01021060401","1400000US01021060401",10,5466,1.82949140139041
"91","01021060402","1400000US01021060402",3,8776,0.341841385597083
"92","01021060500","1400000US01021060500",1,2902,0.344589937973811
"93","01021060600","1400000US01021060600",4,3261,1.22661760196259
"94","01021060700","1400000US01021060700",3,5101,0.588119976475201
"95","01023956800","1400000US01023956800",2,4423,0.452181777074384
"96","01023956900","1400000US01023956900",3,3879,0.773395204949729
"97","01025957602","1400000US01025957602",1,5515,0.181323662737987
"98","01027958900","1400000US01027958900",4,5324,0.751314800901578
"99","01029959600","1400000US01029959600",6,4202,1.4278914802475
"100","01029959700","1400000US01029959700",6,3419,1.75489909330214
"101","01029959800","1400000US01029959800",5,4667,1.07135204628241
"102","01031010300","1400000US01031010300",1,4258,0.234852043212776
"103","01031011201","1400000US01031011201",4,8036,0.497760079641613
"104","01031011202","1400000US01031011202",1,8530,0.117233294255569
"105","01031011300","1400000US01031011300",3,4160,0.721153846153846
"106","01033020100","1400000US01033020100",4,3467,1.15373521776752
"107","01033020300","1400000US01033020300",4,2032,1.96850393700787
"108","01033020701","1400000US01033020701",4,6103,0.655415369490415
"109","01033020703","1400000US01033020703",4,5175,0.772946859903382
"110","01033020704","1400000US01033020704",7,4321,1.6199953714418
"111","01033020801","1400000US01033020801",2,4487,0.445732114998886
"112","01033020802","1400000US01033020802",3,3766,0.79660116834838
"113","01033020902","1400000US01033020902",5,3972,1.25881168177241
"114","01035960200","1400000US01035960200",5,1808,2.76548672566372
"115","01035960300","1400000US01035960300",1,1731,0.577700751010976
"116","01035960500","1400000US01035960500",5,1771,2.82326369282891
"117","01035960600","1400000US01035960600",8,4667,1.71416327405185
"118","01037961000","1400000US01037961000",1,3956,0.252780586450961
"119","01037961100","1400000US01037961100",1,3927,0.254647313470843
"120","01037961200","1400000US01037961200",1,3656,0.273522975929978
"121","01039961600","1400000US01039961600",2,4133,0.48390999274135
"122","01039961700","1400000US01039961700",1,4032,0.248015873015873
"123","01039961900","1400000US01039961900",1,2127,0.470145745181006
"124","01039962000","1400000US01039962000",3,3917,0.765892264488129
"125","01039962400","1400000US01039962400",3,3144,0.954198473282443
"126","01039962500","1400000US01039962500",1,1524,0.656167979002625
"127","01039962600","1400000US01039962600",2,1517,1.318391562294
"128","01039962700","1400000US01039962700",4,1686,2.37247924080664
"129","01039962900","1400000US01039962900",5,1846,2.70855904658722
"130","01041963500","1400000US01041963500",1,1903,0.525486074619023
"131","01041963700","1400000US01041963700",1,3809,0.262536098713573
"132","01043964200","1400000US01043964200",10,7373,1.356300013563
"133","01043964300","1400000US01043964300",6,5001,1.1997600479904
"134","01043964400","1400000US01043964400",2,4112,0.486381322957198
"135","01043964500","1400000US01043964500",1,4180,0.239234449760766
"136","01043964600","1400000US01043964600",2,4007,0.499126528574994
"137","01043964700","1400000US01043964700",2,4643,0.430755976739177
"138","01043964800","1400000US01043964800",6,4289,1.39892748892516
"139","01043964900","1400000US01043964900",8,6683,1.19706718539578
"140","01043965000","1400000US01043965000",3,6071,0.49415252841377
"141","01043965100","1400000US01043965100",3,3578,0.838457238680827
"142","01043965200","1400000US01043965200",8,2309,3.46470333477696
"143","01043965300","1400000US01043965300",7,4539,1.54218990967173
"144","01043965402","1400000US01043965402",3,4189,0.71616137502984
"145","01043965500","1400000US01043965500",2,5631,0.355176700408453
"146","01043965600","1400000US01043965600",7,2257,3.10146211785556
"147","01043965700","1400000US01043965700",1,2652,0.377073906485671
"148","01045020100","1400000US01045020100",1,3823,0.261574679571017
"149","01045020200","1400000US01045020200",3,2067,1.45137880986938
"150","01045021101","1400000US01045021101",2,4893,0.40874718986307
"151","01045021300","1400000US01045021300",2,4034,0.495785820525533
"152","01045021400","1400000US01045021400",8,5492,1.45666423889294
"153","01047956100","1400000US01047956100",5,6753,0.740411668887902
"154","01047956201","1400000US01047956201",2,2550,0.784313725490196
"155","01047956202","1400000US01047956202",5,2327,2.14868929952729
"156","01047956300","1400000US01047956300",7,3791,1.84647850171459
"157","01047956400","1400000US01047956400",15,3150,4.76190476190476
"158","01047956500","1400000US01047956500",5,3811,1.31199160325374
"159","01047956600","1400000US01047956600",10,3811,2.62398320650748
"160","01047956701","1400000US01047956701",1,1855,0.539083557951483
"161","01047956702","1400000US01047956702",4,1602,2.49687890137328
"162","01047956800","1400000US01047956800",2,2789,0.717102904266762
"163","01047956900","1400000US01047956900",1,2804,0.356633380884451
"164","01047957100","1400000US01047957100",3,1345,2.23048327137546
"165","01047957200","1400000US01047957200",6,1754,3.42075256556442
"166","01047957300","1400000US01047957300",18,4204,4.28163653663178
"167","01049960200","1400000US01049960200",1,3530,0.28328611898017
"168","01049960300","1400000US01049960300",3,6908,0.434279096699479
"169","01049960400","1400000US01049960400",1,6483,0.154249575813667
"170","01049960500","1400000US01049960500",10,5373,1.86115764005211
"171","01049960600","1400000US01049960600",6,6393,0.938526513374003
"172","01049960700","1400000US01049960700",1,8628,0.115901715345387
"173","01049960800","1400000US01049960800",3,4498,0.666963094708759
"174","01049960900","1400000US01049960900",3,3809,0.787608296140719
"175","01049961000","1400000US01049961000",4,3914,1.02197240674502
"176","01049961100","1400000US01049961100",1,3258,0.306936771025169
"177","01049961300","1400000US01049961300",2,5967,0.335176805765041
"178","01049961400","1400000US01049961400",13,4304,3.02044609665428
"179","01051030100","1400000US01051030100",1,10104,0.0989707046714173
"180","01051030300","1400000US01051030300",1,2464,0.405844155844156
"181","01051030400","1400000US01051030400",16,7712,2.0746887966805
"182","01051030500","1400000US01051030500",3,4695,0.638977635782748
"183","01051030600","1400000US01051030600",1,7405,0.135043889264011
"184","01051030902","1400000US01051030902",2,3699,0.540686672073533
"185","01051031200","1400000US01051031200",1,1809,0.552791597567717
"186","01051031300","1400000US01051031300",2,3968,0.504032258064516
"187","01053969900","1400000US01053969900",3,4361,0.687915615684476
"188","01053970100","1400000US01053970100",10,4516,2.21434898139947
"189","01053970200","1400000US01053970200",2,1739,1.15008625646924
"190","01053970400","1400000US01053970400",4,5744,0.696378830083565
"191","01053970500","1400000US01053970500",1,4819,0.207511931936086
"192","01053970600","1400000US01053970600",2,4035,0.495662949194548
"193","01053970700","1400000US01053970700",4,3518,1.13700966458215
"194","01055000200","1400000US01055000200",1,3660,0.273224043715847
"195","01055000300","1400000US01055000300",2,2684,0.745156482861401
"196","01055000400","1400000US01055000400",1,3866,0.258665287118469
"197","01055000700","1400000US01055000700",3,1376,2.18023255813953
"198","01055000800","1400000US01055000800",8,1089,7.34618916437098
"199","01055000900","1400000US01055000900",3,2698,1.1119347664937
"200","01055001000","1400000US01055001000",2,1286,1.5552099533437
"201","01055001100","1400000US01055001100",12,4729,2.53753436244449
"202","01055001200","1400000US01055001200",3,3546,0.846023688663283
"203","01055001300","1400000US01055001300",2,2571,0.777907429015947
"204","01055001600","1400000US01055001600",2,3524,0.567536889897843
"205","01055001700","1400000US01055001700",3,1638,1.83150183150183
"206","01055010200","1400000US01055010200",2,5518,0.362450163102573
"207","01055010300","1400000US01055010300",6,2918,2.05620287868403
"208","01055010602","1400000US01055010602",2,3984,0.502008032128514
"209","01055010700","1400000US01055010700",5,3769,1.32661183337755
"210","01055010800","1400000US01055010800",1,2953,0.338638672536404
"211","01055011100","1400000US01055011100",3,5302,0.565824217276499
"212","01055011200","1400000US01055011200",2,2934,0.681663258350375
"213","01057020000","1400000US01057020000",3,1469,2.04220558202859
"214","01057020100","1400000US01057020100",9,3669,2.45298446443173
"215","01057020200","1400000US01057020200",4,4499,0.889086463658591
"216","01057020300","1400000US01057020300",4,4054,0.986679822397632
"217","01059973000","1400000US01059973000",3,5373,0.558347292015634
"218","01059973100","1400000US01059973100",1,2378,0.420521446593776
"219","01059973200","1400000US01059973200",4,3919,1.02066853789232
"220","01059973300","1400000US01059973300",6,3452,1.73812282734647
"221","01059973500","1400000US01059973500",1,2231,0.448229493500672
"222","01059973600","1400000US01059973600",1,1795,0.557103064066852
"223","01061050100","1400000US01061050100",3,5098,0.588466065123578
"224","01061050200","1400000US01061050200",1,2323,0.430477830391735
"225","01061050300","1400000US01061050300",1,5412,0.184774575018477
"226","01061050400","1400000US01061050400",10,5907,1.69290672083968
"227","01061050500","1400000US01061050500",5,4288,1.1660447761194
"228","01061050600","1400000US01061050600",3,3762,0.797448165869219
"229","01063060100","1400000US01063060100",2,4410,0.453514739229025
"230","01063060200","1400000US01063060200",2,2821,0.708968450903935
"231","01065040400","1400000US01065040400",3,5399,0.555658455269494
"232","01065040500","1400000US01065040500",2,1562,1.28040973111396
"233","01067030200","1400000US01067030200",2,2962,0.675219446320054
"234","01067030500","1400000US01067030500",3,5951,0.504116955133591
"235","01069040100","1400000US01069040100",8,4949,1.61648817943019
"236","01069040201","1400000US01069040201",4,9001,0.444395067214754
"237","01069040202","1400000US01069040202",6,8142,0.736919675755343
"238","01069040301","1400000US01069040301",8,3928,2.03665987780041
"239","01069040302","1400000US01069040302",7,3589,1.95040401225968
"240","01069040400","1400000US01069040400",2,2484,0.805152979066023
"241","01069040500","1400000US01069040500",2,3458,0.578368999421631
"242","01069040600","1400000US01069040600",7,2471,2.8328611898017
"243","01069040700","1400000US01069040700",2,2662,0.751314800901578
"244","01069040800","1400000US01069040800",7,7774,0.900437355286854
"245","01069040900","1400000US01069040900",2,4657,0.429461026411853
"246","01069041000","1400000US01069041000",15,5145,2.91545189504373
