"","tractid","id","N","population","fire_per_1000"
"1","01001020100","1400000US01001020100",3,1912,1.56903765690377
"2","01001020200","1400000US01001020200",2,2170,0.921658986175115
"3","01001020300","1400000US01001020300",2,3373,0.592943966795138
"4","01001020400","1400000US01001020400",4,4386,0.911992704058368
"5","01001020500","1400000US01001020500",5,10766,0.464425041798254
"6","01001020600","1400000US01001020600",2,3668,0.54525627044711
"7","01001020700","1400000US01001020700",4,2891,1.3836042891733
"8","01001020801","1400000US01001020801",3,3081,0.973709834469328
"9","01001020802","1400000US01001020802",4,10435,0.383325347388596
"10","01003010100","1400000US01003010100",2,3804,0.525762355415352
"11","01003010300","1400000US01003010300",1,7826,0.127779197546639
"12","01003010400","1400000US01003010400",1,4736,0.211148648648649
"13","01003010500","1400000US01003010500",6,4815,1.24610591900312
"14","01003010600","1400000US01003010600",4,3325,1.20300751879699
"15","01003010701","1400000US01003010701",6,7882,0.761228114691703
"16","01003010703","1400000US01003010703",11,13166,0.835485341029926
"17","01003010704","1400000US01003010704",3,5055,0.593471810089021
"18","01003010705","1400000US01003010705",12,8331,1.44040331292762
"19","01003010800","1400000US01003010800",13,6861,1.89476752659962
"20","01003010903","1400000US01003010903",3,5173,0.5799342741156
"21","01003010904","1400000US01003010904",4,6831,0.585565802957107
"22","01003010905","1400000US01003010905",2,8011,0.24965672200724
"23","01003010906","1400000US01003010906",2,4302,0.464900046490005
"24","01003011000","1400000US01003011000",3,4305,0.696864111498258
"25","01003011101","1400000US01003011101",3,8397,0.357270453733476
"26","01003011102","1400000US01003011102",3,3715,0.807537012113055
"27","01003011201","1400000US01003011201",9,4230,2.12765957446809
"28","01003011202","1400000US01003011202",11,5065,2.17176702862784
"29","01003011300","1400000US01003011300",6,4487,1.33719634499666
"30","01003011401","1400000US01003011401",4,10632,0.376222723852521
"31","01003011406","1400000US01003011406",4,3412,1.17233294255569
"32","01003011407","1400000US01003011407",4,4799,0.833506980620963
"33","01003011501","1400000US01003011501",3,5316,0.564334085778781
"34","01003011502","1400000US01003011502",7,10534,0.664514904119992
"35","01003011601","1400000US01003011601",16,6062,2.63939293962389
"36","01003011602","1400000US01003011602",4,4895,0.817160367722165
"37","01005950100","1400000US01005950100",1,3321,0.301114122252334
"38","01005950200","1400000US01005950200",2,4264,0.469043151969981
"39","01005950300","1400000US01005950300",1,1638,0.610500610500611
"40","01005950400","1400000US01005950400",1,4303,0.232396002788752
"41","01005950500","1400000US01005950500",2,3467,0.576867608883761
"42","01007010002","1400000US01007010002",1,6025,0.16597510373444
"43","01007010004","1400000US01007010004",2,8767,0.228128208052926
"44","01009050101","1400000US01009050101",6,7858,0.763553066938152
"45","01009050102","1400000US01009050102",5,7050,0.709219858156028
"46","01009050200","1400000US01009050200",1,3789,0.263921879123779
"47","01009050300","1400000US01009050300",9,5269,1.70810400455494
"48","01009050400","1400000US01009050400",10,4451,2.24668613794653
"49","01009050500","1400000US01009050500",17,7329,2.31955246281894
"50","01009050601","1400000US01009050601",3,3922,0.764915859255482
"51","01009050602","1400000US01009050602",3,8923,0.336209794912025
"52","01009050700","1400000US01009050700",1,8731,0.114534417592487
"53","01013952700","1400000US01013952700",6,2439,2.460024600246
"54","01013952800","1400000US01013952800",4,1394,2.86944045911047
"55","01013952900","1400000US01013952900",3,2180,1.37614678899083
"56","01013953000","1400000US01013953000",16,1469,10.8917631041525
"57","01013953100","1400000US01013953100",4,3023,1.32318888521336
"58","01013953200","1400000US01013953200",14,4327,3.23549803559048
"59","01013953300","1400000US01013953300",2,1774,1.12739571589628
"60","01013953400","1400000US01013953400",4,2931,1.36472193790515
"61","01013953500","1400000US01013953500",1,1410,0.709219858156028
"62","01015001500","1400000US01015001500",3,5198,0.577145055790689
"63","01015001800","1400000US01015001800",9,6919,1.30076600664836
"64","01015002000","1400000US01015002000",6,7335,0.81799591002045
"65","01015002101","1400000US01015002101",3,3992,0.751503006012024
"66","01015002300","1400000US01015002300",2,3843,0.520426749934947
"67","01015002501","1400000US01015002501",1,7069,0.141462724572075
"68","01015002600","1400000US01015002600",4,4615,0.866738894907909
"69","01017953900","1400000US01017953900",1,2900,0.344827586206897
"70","01017954000","1400000US01017954000",1,6669,0.149947518368571
"71","01017954700","1400000US01017954700",1,4852,0.206100577081616
"72","01019955701","1400000US01019955701",1,3332,0.300120048019208
"73","01019955702","1400000US01019955702",1,3872,0.258264462809917
"74","01019955800","1400000US01019955800",2,5561,0.359647545405503
"75","01019956100","1400000US01019956100",1,4972,0.201126307320998
"76","01021060101","1400000US01021060101",11,5219,2.10768346426518
"77","01021060102","1400000US01021060102",4,6303,0.634618435665556
"78","01021060200","1400000US01021060200",3,2807,1.06875667972925
"79","01021060300","1400000US01021060300",3,3808,0.78781512605042
"80","01021060401","1400000US01021060401",7,5466,1.28064398097329
"81","01021060402","1400000US01021060402",2,8776,0.227894257064722
"82","01021060500","1400000US01021060500",1,2902,0.344589937973811
"83","01021060600","1400000US01021060600",1,3261,0.306654400490647
"84","01021060700","1400000US01021060700",9,5101,1.7643599294256
"85","01023956800","1400000US01023956800",1,4423,0.226090888537192
"86","01023956900","1400000US01023956900",7,3879,1.80458881154937
"87","01025957601","1400000US01025957601",1,998,1.00200400801603
"88","01025957602","1400000US01025957602",3,5515,0.543970988213962
"89","01027958900","1400000US01027958900",5,5324,0.939143501126972
"90","01027959000","1400000US01027959000",2,3224,0.620347394540943
"91","01027959100","1400000US01027959100",2,2904,0.68870523415978
"92","01027959200","1400000US01027959200",1,2480,0.403225806451613
"93","01029959600","1400000US01029959600",3,4202,0.713945740123751
"94","01029959700","1400000US01029959700",3,3419,0.877449546651068
"95","01029959800","1400000US01029959800",4,4667,0.857081637025927
"96","01031010100","1400000US01031010100",1,2057,0.486144871171609
"97","01031010600","1400000US01031010600",1,1561,0.640614990390775
"98","01031010800","1400000US01031010800",1,2840,0.352112676056338
"99","01031010900","1400000US01031010900",5,2117,2.36183278223902
"100","01031011000","1400000US01031011000",1,3526,0.283607487237663
"101","01031011201","1400000US01031011201",2,8036,0.248880039820806
"102","01031011202","1400000US01031011202",6,8530,0.703399765533411
"103","01031011300","1400000US01031011300",1,4160,0.240384615384615
"104","01033020100","1400000US01033020100",4,3467,1.15373521776752
"105","01033020300","1400000US01033020300",5,2032,2.46062992125984
"106","01033020400","1400000US01033020400",1,1530,0.65359477124183
"107","01033020701","1400000US01033020701",2,6103,0.327707684745207
"108","01033020703","1400000US01033020703",5,5175,0.966183574879227
