"","tractid","id","N","population","fire_per_1000"
"1","01001020500","1400000US01001020500",3,10766,0.278655025078952
"2","01001020600","1400000US01001020600",2,3668,0.54525627044711
"3","01001020700","1400000US01001020700",1,2891,0.345901072293324
"4","01001020801","1400000US01001020801",1,3081,0.324569944823109
"5","01001020802","1400000US01001020802",1,10435,0.095831336847149
"6","01001021000","1400000US01001021000",1,2894,0.345542501727713
"7","01003010100","1400000US01003010100",1,3804,0.262881177707676
"8","01003010200","1400000US01003010200",2,2902,0.689179875947622
"9","01003010300","1400000US01003010300",1,7826,0.127779197546639
"10","01003010400","1400000US01003010400",2,4736,0.422297297297297
"11","01003010500","1400000US01003010500",2,4815,0.415368639667705
"12","01003010600","1400000US01003010600",3,3325,0.902255639097744
"13","01003010701","1400000US01003010701",1,7882,0.126871352448617
"14","01003010703","1400000US01003010703",9,13166,0.683578915388121
"15","01003010704","1400000US01003010704",5,5055,0.989119683481701
"16","01003010705","1400000US01003010705",7,8331,0.840235265874445
"17","01003010800","1400000US01003010800",7,6861,1.0202594373998
"18","01003010904","1400000US01003010904",4,6831,0.585565802957107
"19","01003010905","1400000US01003010905",3,8011,0.37448508301086
"20","01003010906","1400000US01003010906",1,4302,0.232450023245002
"21","01003011101","1400000US01003011101",4,8397,0.476360604977968
"22","01003011102","1400000US01003011102",1,3715,0.269179004037685
"23","01003011201","1400000US01003011201",4,4230,0.945626477541371
"24","01003011202","1400000US01003011202",3,5065,0.592300098716683
"25","01003011300","1400000US01003011300",4,4487,0.891464229997771
"26","01003011401","1400000US01003011401",17,10632,1.59894657637321
"27","01003011403","1400000US01003011403",2,9131,0.219034059796298
"28","01003011405","1400000US01003011405",8,3832,2.08768267223382
"29","01003011406","1400000US01003011406",4,3412,1.17233294255569
"30","01003011407","1400000US01003011407",5,4799,1.0418837257762
"31","01003011408","1400000US01003011408",2,433,4.6189376443418
"32","01003011501","1400000US01003011501",1,5316,0.18811136192626
"33","01003011502","1400000US01003011502",7,10534,0.664514904119992
"34","01003011601","1400000US01003011601",16,6062,2.63939293962389
"35","01003011602","1400000US01003011602",12,4895,2.4514811031665
"36","01005950100","1400000US01005950100",3,3321,0.903342366757001
"37","01005950200","1400000US01005950200",7,4264,1.64165103189493
"38","01005950300","1400000US01005950300",3,1638,1.83150183150183
"39","01005950400","1400000US01005950400",1,4303,0.232396002788752
"40","01005950800","1400000US01005950800",1,2055,0.48661800486618
"41","01007010001","1400000US01007010001",2,2732,0.732064421669107
"42","01007010002","1400000US01007010002",9,6025,1.49377593360996
"43","01007010003","1400000US01007010003",1,5391,0.185494342422556
"44","01009050101","1400000US01009050101",8,7858,1.01807075591754
"45","01009050102","1400000US01009050102",7,7050,0.99290780141844
"46","01009050200","1400000US01009050200",2,3789,0.527843758247559
"47","01009050300","1400000US01009050300",13,5269,2.4672613399127
"48","01009050400","1400000US01009050400",13,4451,2.92069197933049
"49","01009050500","1400000US01009050500",6,7329,0.818665575112567
"50","01009050601","1400000US01009050601",3,3922,0.764915859255482
"51","01009050602","1400000US01009050602",4,8923,0.448279726549367
"52","01011952500","1400000US01011952500",1,2378,0.420521446593776
"53","01013952700","1400000US01013952700",3,2439,1.230012300123
"54","01013952800","1400000US01013952800",1,1394,0.717360114777618
"55","01013952900","1400000US01013952900",2,2180,0.917431192660551
"56","01013953000","1400000US01013953000",10,1469,6.8073519400953
"57","01013953100","1400000US01013953100",1,3023,0.330797221303341
"58","01013953200","1400000US01013953200",6,4327,1.38664201525306
"59","01013953300","1400000US01013953300",3,1774,1.69109357384442
"60","01013953400","1400000US01013953400",3,2931,1.02354145342886
"61","01013953500","1400000US01013953500",1,1410,0.709219858156028
"62","01015001100","1400000US01015001100",1,6565,0.152322924600152
"63","01015001201","1400000US01015001201",3,3482,0.861573808156232
"64","01015001202","1400000US01015001202",2,4318,0.463177396943029
"65","01015001400","1400000US01015001400",1,3731,0.268024658268561
"66","01015001500","1400000US01015001500",3,5198,0.577145055790689
"67","01015001800","1400000US01015001800",2,6919,0.289059112588524
"68","01015002000","1400000US01015002000",3,7335,0.408997955010225
"69","01015002200","1400000US01015002200",3,3652,0.821467688937568
"70","01015002300","1400000US01015002300",3,3843,0.78064012490242
"71","01015002400","1400000US01015002400",1,4518,0.221336874723329
"72","01017953800","1400000US01017953800",1,3619,0.276319425255595
"73","01017953900","1400000US01017953900",3,2900,1.03448275862069
"74","01017954000","1400000US01017954000",5,6669,0.749737591842855
"75","01017954200","1400000US01017954200",9,3257,2.76327909118821
"76","01017954300","1400000US01017954300",17,4708,3.61087510620221
"77","01017954400","1400000US01017954400",4,995,4.02010050251256
"78","01017954500","1400000US01017954500",6,3804,1.57728706624606
"79","01017954600","1400000US01017954600",6,3411,1.75901495162709
"80","01017954700","1400000US01017954700",10,4852,2.06100577081616
"81","01019955702","1400000US01019955702",2,3872,0.516528925619835
"82","01019955800","1400000US01019955800",4,5561,0.719295090811005
"83","01019955900","1400000US01019955900",1,4235,0.236127508854782
"84","01019956100","1400000US01019956100",9,4972,1.81013676588898
"85","01021060101","1400000US01021060101",6,5219,1.14964552596283
"86","01021060102","1400000US01021060102",8,6303,1.26923687133111
"87","01021060200","1400000US01021060200",6,2807,2.1375133594585
"88","01021060300","1400000US01021060300",3,3808,0.78781512605042
"89","01021060401","1400000US01021060401",4,5466,0.731796560556165
"90","01021060402","1400000US01021060402",11,8776,1.25341841385597
"91","01021060500","1400000US01021060500",5,2902,1.72294968986906
"92","01021060600","1400000US01021060600",5,3261,1.53327200245324
"93","01021060700","1400000US01021060700",6,5101,1.1762399529504
"94","01023956800","1400000US01023956800",5,4423,1.13045444268596
"95","01023956900","1400000US01023956900",1,3879,0.25779840164991
"96","01025957800","1400000US01025957800",1,5488,0.182215743440233
"97","01025957901","1400000US01025957901",1,3493,0.286286859433152
"98","01027958900","1400000US01027958900",1,5324,0.187828700225394
"99","01027959000","1400000US01027959000",1,3224,0.310173697270471
"100","01027959100","1400000US01027959100",2,2904,0.68870523415978
"101","01029959600","1400000US01029959600",4,4202,0.951927653498334
"102","01029959700","1400000US01029959700",4,3419,1.16993272886809
"103","01029959800","1400000US01029959800",2,4667,0.428540818512963
"104","01031010300","1400000US01031010300",3,4258,0.704556129638328
"105","01031010500","1400000US01031010500",4,4558,0.877577885037297
"106","01031010600","1400000US01031010600",3,1561,1.92184497117233
"107","01031010900","1400000US01031010900",3,2117,1.41709966934341
"108","01031011000","1400000US01031011000",2,3526,0.567214974475326
"109","01031011201","1400000US01031011201",2,8036,0.248880039820806
"110","01031011202","1400000US01031011202",6,8530,0.703399765533411
"111","01031011300","1400000US01031011300",2,4160,0.480769230769231
"112","01033020701","1400000US01033020701",2,6103,0.327707684745207
"113","01033020703","1400000US01033020703",2,5175,0.386473429951691
"114","01033020704","1400000US01033020704",1,4321,0.231427910205971
"115","01033020801","1400000US01033020801",3,4487,0.668598172498329
"116","01033020802","1400000US01033020802",2,3766,0.531067445565587
"117","01033020901","1400000US01033020901",3,4327,0.693321007626531
"118","01033021000","1400000US01033021000",3,3942,0.76103500761035
"119","01035960600","1400000US01035960600",1,4667,0.214270409256482
"120","01037961000","1400000US01037961000",1,3956,0.252780586450961
"121","01037961200","1400000US01037961200",2,3656,0.547045951859956
"122","01039961600","1400000US01039961600",3,4133,0.725864989112025
"123","01039962400","1400000US01039962400",3,3144,0.954198473282443
"124","01039962600","1400000US01039962600",1,1517,0.659195781147001
"125","01039962700","1400000US01039962700",2,1686,1.18623962040332
"126","01039962800","1400000US01039962800",1,1736,0.576036866359447
"127","01039962900","1400000US01039962900",3,1846,1.62513542795233
"128","01041963600","1400000US01041963600",1,3180,0.314465408805031
"129","01041963700","1400000US01041963700",1,3809,0.262536098713573
"130","01043964100","1400000US01043964100",6,5582,1.07488355428162
"131","01043964200","1400000US01043964200",7,7373,0.9494100094941
"132","01043964300","1400000US01043964300",14,5001,2.7994401119776
"133","01043964400","1400000US01043964400",6,4112,1.4591439688716
"134","01043964500","1400000US01043964500",4,4180,0.956937799043062
"135","01043964700","1400000US01043964700",1,4643,0.215377988369589
"136","01043964800","1400000US01043964800",2,4289,0.466309162975052
"137","01043964900","1400000US01043964900",1,6683,0.149633398174473
"138","01043965000","1400000US01043965000",7,6071,1.1530225662988
"139","01043965100","1400000US01043965100",1,3578,0.279485746226942
"140","01043965200","1400000US01043965200",2,2309,0.86617583369424
"141","01043965300","1400000US01043965300",3,4539,0.660938532716457
"142","01043965500","1400000US01043965500",3,5631,0.53276505061268
"143","01043965600","1400000US01043965600",4,2257,1.77226406734603
"144","01043965700","1400000US01043965700",1,2652,0.377073906485671
"145","01045020200","1400000US01045020200",5,2067,2.41896468311563
"146","01045020500","1400000US01045020500",3,2049,1.46412884333821
"147","01045020700","1400000US01045020700",5,3518,1.42126208072769
"148","01045020801","1400000US01045020801",1,3361,0.29753049687593
"149","01045020802","1400000US01045020802",4,4351,0.919328889910365
"150","01045021101","1400000US01045021101",2,4893,0.40874718986307
"151","01045021102","1400000US01045021102",1,4387,0.227946204695692
"152","01045021200","1400000US01045021200",1,2696,0.370919881305638
"153","01045021400","1400000US01045021400",2,5492,0.364166059723234
"154","01047956201","1400000US01047956201",4,2550,1.56862745098039
"155","01047956202","1400000US01047956202",12,2327,5.15685431886549
"156","01047956300","1400000US01047956300",2,3791,0.527565286204168
"157","01047956400","1400000US01047956400",1,3150,0.317460317460317
"158","01047956500","1400000US01047956500",9,3811,2.36158488585673
"159","01047956600","1400000US01047956600",15,3811,3.93597480976122
"160","01047956702","1400000US01047956702",1,1602,0.624219725343321
"161","01047956900","1400000US01047956900",1,2804,0.356633380884451
"162","01047957100","1400000US01047957100",1,1345,0.743494423791822
"163","01047957200","1400000US01047957200",5,1754,2.85062713797035
"164","01047957300","1400000US01047957300",25,4204,5.94671741198858
"165","01049960100","1400000US01049960100",5,5937,0.842176183257537
"166","01049960200","1400000US01049960200",9,3530,2.54957507082153
