"","tractid","id","N","population","fire_per_1000"
"1","01001020100","1400000US01001020100",3,1912,1.56903765690377
"2","01001020200","1400000US01001020200",2,2170,0.921658986175115
"3","01001020400","1400000US01001020400",4,4386,0.911992704058368
"4","01001020500","1400000US01001020500",6,10766,0.557310050157904
"5","01001020600","1400000US01001020600",1,3668,0.272628135223555
"6","01001020700","1400000US01001020700",1,2891,0.345901072293324
"7","01001020801","1400000US01001020801",2,3081,0.649139889646219
"8","01001020802","1400000US01001020802",4,10435,0.383325347388596
"9","01003010200","1400000US01003010200",1,2902,0.344589937973811
"10","01003010300","1400000US01003010300",2,7826,0.255558395093279
"11","01003010400","1400000US01003010400",5,4736,1.05574324324324
"12","01003010500","1400000US01003010500",2,4815,0.415368639667705
"13","01003010600","1400000US01003010600",1,3325,0.300751879699248
"14","01003010701","1400000US01003010701",4,7882,0.507485409794468
"15","01003010703","1400000US01003010703",9,13166,0.683578915388121
"16","01003010704","1400000US01003010704",2,5055,0.39564787339268
"17","01003010705","1400000US01003010705",7,8331,0.840235265874445
"18","01003010800","1400000US01003010800",5,6861,0.728756740999854
"19","01003010904","1400000US01003010904",5,6831,0.731957253696384
"20","01003010905","1400000US01003010905",7,8011,0.87379852702534
"21","01003010906","1400000US01003010906",2,4302,0.464900046490005
"22","01003011101","1400000US01003011101",4,8397,0.476360604977968
"23","01003011102","1400000US01003011102",1,3715,0.269179004037685
"24","01003011201","1400000US01003011201",1,4230,0.236406619385343
"25","01003011202","1400000US01003011202",4,5065,0.789733464955577
"26","01003011300","1400000US01003011300",3,4487,0.668598172498329
"27","01003011401","1400000US01003011401",12,10632,1.12866817155756
"28","01003011403","1400000US01003011403",9,9131,0.985653269083342
"29","01003011405","1400000US01003011405",14,3832,3.65344467640919
"30","01003011406","1400000US01003011406",16,3412,4.68933177022274
"31","01003011407","1400000US01003011407",14,4799,2.91727443217337
"32","01003011408","1400000US01003011408",1,433,2.3094688221709
"33","01003011501","1400000US01003011501",3,5316,0.564334085778781
"34","01003011502","1400000US01003011502",6,10534,0.569584203531422
"35","01003011601","1400000US01003011601",11,6062,1.81458264599142
"36","01003011602","1400000US01003011602",6,4895,1.22574055158325
"37","01005950100","1400000US01005950100",1,3321,0.301114122252334
"38","01005950200","1400000US01005950200",3,4264,0.703564727954972
"39","01005950300","1400000US01005950300",1,1638,0.610500610500611
"40","01005950500","1400000US01005950500",1,3467,0.288433804441881
"41","01007010002","1400000US01007010002",6,6025,0.995850622406639
"42","01007010003","1400000US01007010003",2,5391,0.370988684845112
"43","01009050101","1400000US01009050101",3,7858,0.381776533469076
"44","01009050102","1400000US01009050102",4,7050,0.567375886524823
"45","01009050200","1400000US01009050200",2,3789,0.527843758247559
"46","01009050300","1400000US01009050300",4,5269,0.759157335357753
"47","01009050400","1400000US01009050400",4,4451,0.898674455178612
"48","01009050500","1400000US01009050500",15,7329,2.04666393778142
"49","01009050601","1400000US01009050601",1,3922,0.254971953085161
"50","01009050700","1400000US01009050700",1,8731,0.114534417592487
"51","01011952500","1400000US01011952500",1,2378,0.420521446593776
"52","01013952700","1400000US01013952700",6,2439,2.460024600246
"53","01013952800","1400000US01013952800",1,1394,0.717360114777618
"54","01013952900","1400000US01013952900",2,2180,0.917431192660551
"55","01013953000","1400000US01013953000",15,1469,10.211027910143
"56","01013953100","1400000US01013953100",6,3023,1.98478332782005
"57","01013953200","1400000US01013953200",5,4327,1.15553501271089
"58","01013953300","1400000US01013953300",3,1774,1.69109357384442
"59","01013953400","1400000US01013953400",1,2931,0.341180484476288
"60","01015000600","1400000US01015000600",1,2191,0.456412596987677
"61","01015000800","1400000US01015000800",1,1379,0.725163161711385
"62","01015001100","1400000US01015001100",2,6565,0.304645849200305
"63","01015001201","1400000US01015001201",3,3482,0.861573808156232
"64","01015001202","1400000US01015001202",3,4318,0.694766095414544
"65","01015001300","1400000US01015001300",1,2211,0.452284034373587
"66","01015001500","1400000US01015001500",2,5198,0.384763370527126
"67","01015001800","1400000US01015001800",1,6919,0.144529556294262
"68","01015002000","1400000US01015002000",1,7335,0.136332651670075
"69","01015002200","1400000US01015002200",6,3652,1.64293537787514
"70","01015002300","1400000US01015002300",3,3843,0.78064012490242
"71","01015002600","1400000US01015002600",1,4615,0.216684723726977
"72","01017953900","1400000US01017953900",4,2900,1.37931034482759
"73","01017954000","1400000US01017954000",2,6669,0.299895036737142
"74","01017954200","1400000US01017954200",10,3257,3.07031010132023
"75","01017954300","1400000US01017954300",16,4708,3.39847068819031
"76","01017954400","1400000US01017954400",3,995,3.01507537688442
"77","01017954500","1400000US01017954500",4,3804,1.0515247108307
"78","01017954600","1400000US01017954600",3,3411,0.879507475813544
"79","01017954700","1400000US01017954700",9,4852,1.85490519373454
"80","01019955702","1400000US01019955702",6,3872,1.5495867768595
"81","01019955800","1400000US01019955800",6,5561,1.07894263621651
"82","01019955900","1400000US01019955900",5,4235,1.18063754427391
"83","01019956000","1400000US01019956000",1,4017,0.248941996514812
"84","01019956100","1400000US01019956100",5,4972,1.00563153660499
"85","01021060101","1400000US01021060101",8,5219,1.53286070128377
"86","01021060102","1400000US01021060102",9,6303,1.4278914802475
"87","01021060200","1400000US01021060200",6,2807,2.1375133594585
"88","01021060300","1400000US01021060300",1,3808,0.262605042016807
"89","01021060401","1400000US01021060401",4,5466,0.731796560556165
"90","01021060402","1400000US01021060402",3,8776,0.341841385597083
"91","01021060600","1400000US01021060600",1,3261,0.306654400490647
"92","01021060700","1400000US01021060700",5,5101,0.980199960792001
"93","01023956800","1400000US01023956800",3,4423,0.678272665611576
"94","01025957602","1400000US01025957602",1,5515,0.181323662737987
"95","01025958002","1400000US01025958002",1,1731,0.577700751010976
"96","01027959000","1400000US01027959000",3,3224,0.930521091811414
"97","01029959600","1400000US01029959600",10,4202,2.37981913374584
"98","01029959800","1400000US01029959800",1,4667,0.214270409256482
"99","01031010300","1400000US01031010300",2,4258,0.469704086425552
"100","01031010600","1400000US01031010600",2,1561,1.28122998078155
"101","01031011000","1400000US01031011000",2,3526,0.567214974475326
"102","01031011201","1400000US01031011201",1,8036,0.124440019910403
"103","01031011300","1400000US01031011300",3,4160,0.721153846153846
"104","01033020701","1400000US01033020701",1,6103,0.163853842372604
"105","01033020703","1400000US01033020703",3,5175,0.579710144927536
"106","01033020704","1400000US01033020704",9,4321,2.08285119185374
"107","01033020801","1400000US01033020801",1,4487,0.222866057499443
"108","01033020802","1400000US01033020802",3,3766,0.79660116834838
