"","tractid","id","N","population","fire_per_1000"
"1","01001020100","1400000US01001020100",6,1912,3.13807531380753
"2","01001020200","1400000US01001020200",10,2170,4.60829493087558
"3","01001020300","1400000US01001020300",6,3373,1.77883190038541
"4","01001020400","1400000US01001020400",15,4386,3.41997264021888
"5","01001020500","1400000US01001020500",24,10766,2.22924020063162
"6","01001020600","1400000US01001020600",12,3668,3.27153762268266
"7","01001020700","1400000US01001020700",13,2891,4.49671393981321
"8","01001020801","1400000US01001020801",7,3081,2.27198961376177
"9","01001020802","1400000US01001020802",16,10435,1.53330138955438
"10","01001020900","1400000US01001020900",5,5675,0.881057268722467
"11","01001021000","1400000US01001021000",1,2894,0.345542501727713
"12","01003010100","1400000US01003010100",2,3804,0.525762355415352
"13","01003010200","1400000US01003010200",7,2902,2.41212956581668
"14","01003010300","1400000US01003010300",7,7826,0.894454382826476
"15","01003010400","1400000US01003010400",10,4736,2.11148648648649
"16","01003010500","1400000US01003010500",15,4815,3.11526479750779
"17","01003010600","1400000US01003010600",9,3325,2.70676691729323
"18","01003010701","1400000US01003010701",11,7882,1.39558487693479
"19","01003010703","1400000US01003010703",23,13166,1.74692389488075
"20","01003010704","1400000US01003010704",6,5055,1.18694362017804
"21","01003010705","1400000US01003010705",18,8331,2.16060496939143
"22","01003010800","1400000US01003010800",16,6861,2.33202157119953
"23","01003010903","1400000US01003010903",3,5173,0.5799342741156
"24","01003010904","1400000US01003010904",3,6831,0.439174352217831
"25","01003010905","1400000US01003010905",2,8011,0.24965672200724
"26","01003010906","1400000US01003010906",1,4302,0.232450023245002
"27","01003011000","1400000US01003011000",3,4305,0.696864111498258
"28","01003011101","1400000US01003011101",19,8397,2.26271287364535
"29","01003011102","1400000US01003011102",5,3715,1.34589502018843
"30","01003011201","1400000US01003011201",15,4230,3.54609929078014
"31","01003011202","1400000US01003011202",11,5065,2.17176702862784
"32","01003011300","1400000US01003011300",6,4487,1.33719634499666
"33","01003011401","1400000US01003011401",21,10632,1.97516930022573
"34","01003011403","1400000US01003011403",10,9131,1.09517029898149
"35","01003011405","1400000US01003011405",17,3832,4.43632567849687
"36","01003011406","1400000US01003011406",11,3412,3.22391559202814
"37","01003011407","1400000US01003011407",1,4799,0.208376745155241
"38","01003011408","1400000US01003011408",6,433,13.8568129330254
"39","01003011501","1400000US01003011501",14,5316,2.63355906696764
"40","01003011502","1400000US01003011502",29,10534,2.75299031706854
"41","01003011601","1400000US01003011601",15,6062,2.47443088089739
"42","01003011602","1400000US01003011602",7,4895,1.43003064351379
"43","01005950100","1400000US01005950100",1,3321,0.301114122252334
"44","01005950200","1400000US01005950200",19,4264,4.45590994371482
"45","01005950300","1400000US01005950300",7,1638,4.27350427350427
"46","01005950400","1400000US01005950400",7,4303,1.62677201952126
"47","01005950500","1400000US01005950500",1,3467,0.288433804441881
"48","01005950600","1400000US01005950600",1,2099,0.476417341591234
"49","01007010001","1400000US01007010001",1,2732,0.366032210834553
"50","01007010002","1400000US01007010002",2,6025,0.33195020746888
"51","01009050101","1400000US01009050101",17,7858,2.16340035632476
"52","01009050102","1400000US01009050102",15,7050,2.12765957446809
"53","01009050300","1400000US01009050300",21,5269,3.9855760106282
"54","01009050400","1400000US01009050400",14,4451,3.14536059312514
"55","01009050500","1400000US01009050500",26,7329,3.54755082548779
"56","01009050601","1400000US01009050601",6,3922,1.52983171851096
"57","01009050602","1400000US01009050602",1,8923,0.112069931637342
"58","01011952500","1400000US01011952500",2,2378,0.841042893187553
"59","01013952700","1400000US01013952700",9,2439,3.690036900369
"60","01013952800","1400000US01013952800",4,1394,2.86944045911047
"61","01013952900","1400000US01013952900",17,2180,7.79816513761468
"62","01013953000","1400000US01013953000",14,1469,9.53029271613342
"63","01013953100","1400000US01013953100",21,3023,6.94674164737016
"64","01013953200","1400000US01013953200",14,4327,3.23549803559048
"65","01013953300","1400000US01013953300",4,1774,2.25479143179256
"66","01013953400","1400000US01013953400",7,2931,2.38826339133402
"67","01013953500","1400000US01013953500",2,1410,1.41843971631206
"68","01015001000","1400000US01015001000",2,5792,0.345303867403315
"69","01015001400","1400000US01015001400",1,3731,0.268024658268561
"70","01015001500","1400000US01015001500",1,5198,0.192381685263563
"71","01015001800","1400000US01015001800",9,6919,1.30076600664836
"72","01015002000","1400000US01015002000",9,7335,1.22699386503067
"73","01015002200","1400000US01015002200",1,3652,0.273822562979189
"74","01015002300","1400000US01015002300",3,3843,0.78064012490242
"75","01015002501","1400000US01015002501",8,7069,1.1317017965766
"76","01015002502","1400000US01015002502",5,4661,1.0727311735679
