"","STATE10","total_population","covered_population","coverage","STATE"
"1",1,4779736,4675786,0.97825193692706,"AL"
"2",2,710231,709771,0.999352323399007,"AK"
"3",4,6392017,6300054,0.985612835510294,"AZ"
"4",5,2915918,2915918,1,"AR"
"5",6,37253956,36943947,0.99167849449331,"CA"
"6",8,5029196,5024335,0.999033443914296,"CO"
"7",9,3574097,3572000,0.999413278374929,"CT"
"8",10,897934,897934,1,"DE"
"9",11,601723,601723,1,"DC"
"10",12,18801310,18798905,0.999872083381424,"FL"
"11",13,9687653,9685705,0.99979891930481,"GA"
"12",15,1360301,1310515,0.963400747334597,"HI"
"13",16,1567582,1567582,1,"ID"
"14",17,12830632,12829094,0.999880130612428,"IL"
"15",18,6483802,6483793,0.999998611925534,"IN"
"16",19,3046355,2987172,0.980572520274229,"IA"
"17",20,2853118,2853118,1,"KS"
"18",21,4339367,4329461,0.997717178565445,"KY"
"19",22,4533372,4529363,0.999115669307526,"LA"
"20",23,1328361,1328361,1,"ME"
"21",24,5773552,5773552,1,"MD"
"22",25,6547629,6547094,0.999918291033289,"MA"
"23",26,9883640,9869590,0.998578458948323,"MI"
"24",27,5303925,5302147,0.999664776556984,"MN"
"25",28,2967297,2967293,0.999998651971811,"MS"
"26",29,5988927,5988927,1,"MO"
"27",30,989415,988739,0.999316767989165,"MT"
"28",31,1826341,1819150,0.996062619193239,"NE"
"29",32,2700551,2697005,0.998686934629266,"NV"
"30",33,1316470,1316470,1,"NH"
"31",34,8791894,8786228,0.999355542730611,"NJ"
"32",35,2059179,2054246,0.997604385048604,"NM"
"33",36,19378102,19313687,0.996675887039917,"NY"
"34",37,9535483,9534390,0.999885375496973,"NC"
"35",38,672591,669328,0.9951486118607,"ND"
"36",39,11536504,11532107,0.999618862005335,"OH"
"37",40,3751351,3748152,0.999147240554136,"OK"
"38",41,3831074,3830777,0.999922476047187,"OR"
"39",42,12702379,12601866,0.99208707282313,"PA"
"40",44,1052567,1014788,0.96410774801034,"RI"
"41",45,4625364,4618678,0.998554492143753,"SC"
"42",46,814180,808569,0.993108403547127,"SD"
"43",47,6346105,6345679,0.999932872210592,"TN"
"44",48,25145561,25098893,0.998144085948212,"TX"
"45",49,2763885,2752859,0.996010687854234,"UT"
"46",50,625741,625741,1,"VT"
"47",51,8001024,7994475,0.999181479770589,"VA"
"48",53,6724540,6719326,0.999224630978476,"WA"
"49",54,1852994,1852994,1,"WV"
"50",55,5686986,5681795,0.999087214211535,"WI"
"51",56,563626,563626,1,"WY"
"52",72,3725789,186351,0.0500165199907993,"PR"
