"tractid","death_injury_rf_risk_prob"
5015950500,0.304
5033020302,0.33
5045030702,0.102
5057480500,0.466
5085020103,0.244
5131000502,0.732
4013422513,0.448
4019004427,0.392
4019004645,0.414
6013311000,0.724
6029001902,0.47
6037272202,0.364
6037577603,0.282
6037602003,0.296
6037670403,0.326
6059052506,0.424
6071009717,0.328
6073010112,0.422
6073010300,0.424
6073017010,0.386
6077005134,0.398
6081607300,0.266
6085500100,0.386
6103000400,0.326
6111008303,0.4
8005005626,0.39
8031000302,0.316
9001011300,0.32
9003417400,0.356
10003016200,0.544
12001001517,0.378
12011060113,0.428
12031016807,0.472
12057011710,0.47
12071030202,0.686
12086003003,0.468
12087972300,0.24
12091022800,0.638
12099002400,0.432
13051003502,0.142
13057090701,0.162
13067031112,0.272
13165960200,0.35
13211010300,0.122
19153010408,0.406
16055001100,0.364
17031110501,0.372
17161024200,0.726
17167000800,0.514
18005010500,0.404
18031969200,0.87
18085961900,0.482
18095011100,0.542
20037956600,0.362
21037051200,0.448
21199930200,0.23
22017023300,0.536
22045030500,0.454
22071009600,0.4
22071011600,0.288
25021419700,0.314
25023511000,0.628
25025050200,0.384
25027758101,0.348
25027761400,0.23
24005430900,0.418
24031701505,0.492
24031702402,0.402
26033970800,0.29
26049010811,0.414
26147631600,0.36
26163522200,0.466
26163544100,0.434
27053000300,0.57
27109000902,0.576
27133570300,0.414
29159480200,0.674
29165030307,0.234
29195090200,0.332
28121020101,0.86
28135950100,0.41
37119005100,0.662
37125951200,0.318
37179021005,0.378
31153010306,0.344
34001000500,0.224
34003008000,0.21
34007607502,0.344
34013011900,0.244
34017000200,0.164
35045000706,0.404
32003002969,0.442
32031001010,0.356
36047014000,0.372
36047062600,0.23
36061025100,0.494
36083052603,0.224
36113070400,0.458
39035106800,0.778
39035119900,0.906
39049007043,0.318
39065000700,0.346
39095004200,0.682
39095006500,0.286
39109365302,0.218
40031002001,0.388
41039001803,0.41
41051009000,0.47
42003474101,0.29
42029300800,0.42
42029307400,0.252
42033330400,0.36
42041013000,0.16
42045404003,0.468
42071012900,0.086
42095017501,0.352
72127007100,0.402
72131958800,0.388
44007010600,0.91
44007013701,0.164
45031010400,0.422
45085001100,0.328
48029121909,0.344
48029191808,0.306
48113004300,0.28
48113019206,0.442
48181000200,0.408
48187210505,0.622
48201532501,0.38
48215021304,0.406
48215024301,0.4
48225950100,0.32
48491020605,0.726
49011125401,0.254
51059480505,0.31
51171040300,0.306
53033029304,0.122
53063003900,0.432
53063004000,0.774
55003950300,0.454
55029100300,0.322
55081950400,0.47
55085971400,0.668
55097960200,0.292
55117010200,0.352
54003971102,0.342
54089000500,0.482
1055000200,0.44
1087231900,0.33
6001404600,0.262
6007003501,0.386
6037123301,0.412
6037134421,0.342
6037301602,0.396
6037432700,0.382
6037910712,0.394
6047001503,0.422
6059001708,0.364
6059011102,0.336
6059063007,0.322
6065041910,0.694
6067007417,0.408
6073003107,0.306
6073016000,0.366
6079011600,0.362
6111001602,0.362
8059012057,0.61
9003462201,0.18
9003471300,0.35
9005300100,0.298
12029990000,0.234
12033003508,0.526
12057001300,0.432
12069031202,0.35
12081002012,0.384
12086007503,0.138
12086008804,0.402
12086011005,0.404
12099005943,0.46
12103025204,0.668
13013180301,0.274
13121009801,0.108
13153020600,0.35
15007040204,0.356
19153004800,0.482
19155021501,0.396
19171290300,0.698
17031252000,0.276
17031825700,0.542
17031838000,0.138
17091010202,0.206
17097864802,0.116
17183001200,0.614
17183010200,0.45
17197881107,0.356
17199021200,0.334
18057110807,0.344
18091040500,0.324
18097340700,0.286
20173010200,0.528
21045950200,0.372
21073070401,0.36
22017022100,0.282
22033004011,0.33
22079011000,0.268
25009223100,0.11
25017332200,0.488
24510130804,0.364
23003951900,0.398
26005030901,0.216
26017286100,0.332
26045021002,0.44
26081011500,0.5
26093742700,0.686
26115832000,0.45
26147620000,0.526
26163525600,0.288
27003050217,0.348
29077002800,0.584
29095013608,0.416
29095016000,0.628
29097010200,0.566
29163460200,0.322
29189215700,0.614
30017962000,0.652
37047931000,0.294
37133000700,0.372
31033955000,0.4
34001012302,0.182
34027045300,0.308
34035051800,0.91
34035053805,0.096
35005001400,0.2
32003003428,0.544
32003005322,0.606
32003005336,0.328
36005020100,0.142
36007001700,0.288
36027110003,0.212
36031960300,0.282
36047079802,0.318
36071002300,0.274
36083040400,0.34
39007001102,0.068
39085204400,0.702
39087051002,0.412
41033360500,0.498
42003415001,0.282
42095017702,0.378
42101025200,0.428
42113960100,0.3
72021031704,0.412
72135510504,0.366
45079011102,0.366
45083022801,0.372
47013950300,0.578
47045964500,0.408
47065011001,0.256
48113008200,0.426
48113013712,0.41
48117950400,0.298
48201350602,0.376
48217960700,0.284
48325000402,0.374
48349970800,0.436
48355003002,0.146
48381020600,0.448
51147930202,0.378
53033023801,0.368
53053060200,0.574
53061041201,0.408
53061050600,0.218
55079012400,0.498
55079120203,0.484
55133200101,0.336
1073002700,0.748
5119003900,0.386
4013816600,0.39
4015950402,0.428
6013348000,0.23
6019002501,0.606
6037143604,0.248
6037401304,0.336
6037403600,0.12
6037541001,0.406
6037620301,0.254
6059074006,0.448
6065040816,0.31
6071000103,0.344
6073003502,0.406
6073016100,0.396
6095252910,0.098
6115040400,0.454
8069001111,0.248
9003466202,0.126
9003510100,0.23
9005360400,0.196
10003000601,0.444
12011060211,0.412
12027010101,0.476
12057011407,0.386
12057013802,0.688
12086009903,0.316
12086016900,0.216
12095014904,0.354
12099007750,0.574
12105011721,0.42
12127083006,0.476
