"","tractid","id","N","population","fire_per_1000"
"1","01001020100","1400000US01001020100",1,1912,0.523012552301255
"2","01001020200","1400000US01001020200",1,2170,0.460829493087558
"3","01001020300","1400000US01001020300",3,3373,0.889415950192707
"4","01001020400","1400000US01001020400",2,4386,0.455996352029184
"5","01001020500","1400000US01001020500",1,10766,0.0928850083596508
"6","01001020600","1400000US01001020600",1,3668,0.272628135223555
"7","01001020700","1400000US01001020700",5,2891,1.72950536146662
"8","01001020801","1400000US01001020801",10,3081,3.24569944823109
"9","01001020802","1400000US01001020802",2,10435,0.191662673694298
"10","01001020900","1400000US01001020900",1,5675,0.176211453744493
"11","01003010200","1400000US01003010200",1,2902,0.344589937973811
"12","01003010300","1400000US01003010300",2,7826,0.255558395093279
"13","01003010400","1400000US01003010400",1,4736,0.211148648648649
"14","01003010500","1400000US01003010500",7,4815,1.45379023883697
"15","01003010600","1400000US01003010600",1,3325,0.300751879699248
"16","01003010701","1400000US01003010701",6,7882,0.761228114691703
"17","01003010703","1400000US01003010703",8,13166,0.607625702567219
"18","01003010704","1400000US01003010704",1,5055,0.19782393669634
"19","01003010705","1400000US01003010705",1,8331,0.120033609410635
"20","01003010800","1400000US01003010800",7,6861,1.0202594373998
"21","01003010903","1400000US01003010903",2,5173,0.3866228494104
"22","01003010904","1400000US01003010904",3,6831,0.439174352217831
"23","01003010905","1400000US01003010905",3,8011,0.37448508301086
"24","01003010906","1400000US01003010906",4,4302,0.929800092980009
"25","01003011000","1400000US01003011000",3,4305,0.696864111498258
"26","01003011101","1400000US01003011101",4,8397,0.476360604977968
"27","01003011201","1400000US01003011201",3,4230,0.709219858156028
"28","01003011202","1400000US01003011202",2,5065,0.394866732477789
"29","01003011300","1400000US01003011300",2,4487,0.445732114998886
"30","01003011401","1400000US01003011401",22,10632,2.06922498118886
"31","01003011403","1400000US01003011403",12,9131,1.31420435877779
"32","01003011405","1400000US01003011405",2,3832,0.521920668058455
"33","01003011406","1400000US01003011406",5,3412,1.46541617819461
"34","01003011407","1400000US01003011407",11,4799,2.29214419670765
"35","01003011501","1400000US01003011501",11,5316,2.06922498118886
"36","01003011502","1400000US01003011502",10,10534,0.949307005885703
"37","01003011601","1400000US01003011601",4,6062,0.659848234905972
"38","01003011602","1400000US01003011602",8,4895,1.63432073544433
"39","01005950100","1400000US01005950100",1,3321,0.301114122252334
"40","01005950200","1400000US01005950200",5,4264,1.17260787992495
"41","01005950500","1400000US01005950500",2,3467,0.576867608883761
"42","01009050101","1400000US01009050101",4,7858,0.509035377958768
"43","01009050102","1400000US01009050102",6,7050,0.851063829787234
"44","01009050200","1400000US01009050200",2,3789,0.527843758247559
"45","01009050300","1400000US01009050300",16,5269,3.03662934143101
"46","01009050400","1400000US01009050400",8,4451,1.79734891035722
"47","01009050500","1400000US01009050500",3,7329,0.409332787556283
"48","01013952700","1400000US01013952700",3,2439,1.230012300123
"49","01013952800","1400000US01013952800",1,1394,0.717360114777618
"50","01013952900","1400000US01013952900",3,2180,1.37614678899083
"51","01013953000","1400000US01013953000",3,1469,2.04220558202859
"52","01013953100","1400000US01013953100",3,3023,0.992391663910023
"53","01013953200","1400000US01013953200",1,4327,0.231107002542177
"54","01013953300","1400000US01013953300",1,1774,0.56369785794814
"55","01015000800","1400000US01015000800",2,1379,1.45032632342277
"56","01015001100","1400000US01015001100",8,6565,1.21858339680122
"57","01015001201","1400000US01015001201",2,3482,0.574382538770821
"58","01015001202","1400000US01015001202",3,4318,0.694766095414544
"59","01015001500","1400000US01015001500",4,5198,0.769526741054252
"60","01015002000","1400000US01015002000",1,7335,0.136332651670075
"61","01015002101","1400000US01015002101",4,3992,1.00200400801603
"62","01015002102","1400000US01015002102",6,3411,1.75901495162709
"63","01015002103","1400000US01015002103",11,6801,1.61740920452875
"64","01015002200","1400000US01015002200",6,3652,1.64293537787514
"65","01015002300","1400000US01015002300",5,3843,1.30106687483737
"66","01015002400","1400000US01015002400",2,4518,0.442673749446658
"67","01017953800","1400000US01017953800",1,3619,0.276319425255595
"68","01017954000","1400000US01017954000",4,6669,0.599790073474284
"69","01017954200","1400000US01017954200",1,3257,0.307031010132023
"70","01017954300","1400000US01017954300",1,4708,0.212404418011895
"71","01017954500","1400000US01017954500",3,3804,0.788643533123028
"72","01019955701","1400000US01019955701",3,3332,0.900360144057623
"73","01019955702","1400000US01019955702",11,3872,2.84090909090909
"74","01019955800","1400000US01019955800",7,5561,1.25876640891926
"75","01021060101","1400000US01021060101",9,5219,1.72446828894424
"76","01021060102","1400000US01021060102",5,6303,0.793273044581945
"77","01021060200","1400000US01021060200",4,2807,1.42500890630566
"78","01021060300","1400000US01021060300",3,3808,0.78781512605042
"79","01021060401","1400000US01021060401",1,5466,0.182949140139041
"80","01021060402","1400000US01021060402",10,8776,1.13947128532361
"81","01021060500","1400000US01021060500",2,2902,0.689179875947622
"82","01021060600","1400000US01021060600",1,3261,0.306654400490647
"83","01021060700","1400000US01021060700",13,5101,2.5485198980592
"84","01023956800","1400000US01023956800",2,4423,0.452181777074384
"85","01023956900","1400000US01023956900",4,3879,1.03119360659964
"86","01025957602","1400000US01025957602",1,5515,0.181323662737987
"87","01025957800","1400000US01025957800",2,5488,0.364431486880466
"88","01027959100","1400000US01027959100",1,2904,0.34435261707989
"89","01029959600","1400000US01029959600",5,4202,1.18990956687292
"90","01029959800","1400000US01029959800",3,4667,0.642811227769445
"91","01031010300","1400000US01031010300",1,4258,0.234852043212776
"92","01031010700","1400000US01031010700",1,2286,0.437445319335083
"93","01031010800","1400000US01031010800",4,2840,1.40845070422535
"94","01031010900","1400000US01031010900",1,2117,0.472366556447804
"95","01031011000","1400000US01031011000",2,3526,0.567214974475326
"96","01031011201","1400000US01031011201",2,8036,0.248880039820806
"97","01031011202","1400000US01031011202",4,8530,0.468933177022274
"98","01031011300","1400000US01031011300",4,4160,0.961538461538462
"99","01033020703","1400000US01033020703",3,5175,0.579710144927536
"100","01033020704","1400000US01033020704",2,4321,0.462855820411942
"101","01033020801","1400000US01033020801",2,4487,0.445732114998886
"102","01035960500","1400000US01035960500",2,1771,1.12930547713156
"103","01037961100","1400000US01037961100",5,3927,1.27323656735421
"104","01037961200","1400000US01037961200",1,3656,0.273522975929978
"105","01039961600","1400000US01039961600",2,4133,0.48390999274135
"106","01039961900","1400000US01039961900",1,2127,0.470145745181006
"107","01039962400","1400000US01039962400",6,3144,1.90839694656489
"108","01039962500","1400000US01039962500",6,1524,3.93700787401575
"109","01039962700","1400000US01039962700",4,1686,2.37247924080664
"110","01039962800","1400000US01039962800",3,1736,1.72811059907834
"111","01039962900","1400000US01039962900",4,1846,2.16684723726977
"112","01039963000","1400000US01039963000",7,3684,1.90010857763301
"113","01043964100","1400000US01043964100",2,5582,0.358294518093873
"114","01043964200","1400000US01043964200",1,7373,0.1356300013563
"115","01043964300","1400000US01043964300",4,5001,0.799840031993601
"116","01043964400","1400000US01043964400",2,4112,0.486381322957198
"117","01043964500","1400000US01043964500",1,4180,0.239234449760766
"118","01043964800","1400000US01043964800",2,4289,0.466309162975052
"119","01043964900","1400000US01043964900",11,6683,1.6459673799192
"120","01043965200","1400000US01043965200",3,2309,1.29926375054136
"121","01043965300","1400000US01043965300",2,4539,0.440625688477638
"122","01043965401","1400000US01043965401",1,3310,0.302114803625378
"123","01043965500","1400000US01043965500",1,5631,0.177588350204227
"124","01043965600","1400000US01043965600",2,2257,0.886132033673017
"125","01043965700","1400000US01043965700",5,2652,1.88536953242836
"126","01045020100","1400000US01045020100",1,3823,0.261574679571017
"127","01045020200","1400000US01045020200",3,2067,1.45137880986938
"128","01045020300","1400000US01045020300",2,2396,0.834724540901502
"129","01045020400","1400000US01045020400",3,2542,1.1801730920535
"130","01045020500","1400000US01045020500",4,2049,1.95217179111762
"131","01045020700","1400000US01045020700",1,3518,0.284252416145537
"132","01045020801","1400000US01045020801",1,3361,0.29753049687593
"133","01045020802","1400000US01045020802",3,4351,0.689496667432774
"134","01045021101","1400000US01045021101",10,4893,2.04373594931535
"135","01045021102","1400000US01045021102",3,4387,0.683838614087075
"136","01045021200","1400000US01045021200",1,2696,0.370919881305638
"137","01045021300","1400000US01045021300",1,4034,0.247892910262766
"138","01047956100","1400000US01047956100",1,6753,0.14808233377758
"139","01047956201","1400000US01047956201",1,2550,0.392156862745098
"140","01047956202","1400000US01047956202",7,2327,3.0081650193382
"141","01047956300","1400000US01047956300",8,3791,2.11026114481667
"142","01047956400","1400000US01047956400",7,3150,2.22222222222222
"143","01047956500","1400000US01047956500",8,3811,2.09918656520598
"144","01047956600","1400000US01047956600",7,3811,1.83678824455523
"145","01047956702","1400000US01047956702",3,1602,1.87265917602996
"146","01047956800","1400000US01047956800",1,2789,0.358551452133381
"147","01047956900","1400000US01047956900",1,2804,0.356633380884451
"148","01047957100","1400000US01047957100",1,1345,0.743494423791822
"149","01047957200","1400000US01047957200",1,1754,0.570125427594071
"150","01047957300","1400000US01047957300",5,4204,1.18934348239772
"151","01049960100","1400000US01049960100",1,5937,0.168435236651508
"152","01049960200","1400000US01049960200",11,3530,3.11614730878187
"153","01049960300","1400000US01049960300",1,6908,0.144759698899826
"154","01049960400","1400000US01049960400",5,6483,0.771247879068332
"155","01049960500","1400000US01049960500",1,5373,0.186115764005211
"156","01049960600","1400000US01049960600",1,6393,0.156421085562334
"157","01049960700","1400000US01049960700",1,8628,0.115901715345387
"158","01049960900","1400000US01049960900",4,3809,1.05014439485429
"159","01049961000","1400000US01049961000",2,3914,0.510986203372509
"160","01049961100","1400000US01049961100",6,3258,1.84162062615101
"161","01049961300","1400000US01049961300",6,5967,1.00553041729512
"162","01049961400","1400000US01049961400",2,4304,0.464684014869888
"163","01051030300","1400000US01051030300",1,2464,0.405844155844156
"164","01051030400","1400000US01051030400",4,7712,0.518672199170125
"165","01051030500","1400000US01051030500",1,4695,0.212992545260916
"166","01051030600","1400000US01051030600",5,7405,0.675219446320054
"167","01051030701","1400000US01051030701",1,6257,0.159821000479463
"168","01051030702","1400000US01051030702",4,3678,1.08754758020663
"169","01051030800","1400000US01051030800",9,5784,1.55601659751037
"170","01051030901","1400000US01051030901",3,6234,0.481231953801732
"171","01051030902","1400000US01051030902",2,3699,0.540686672073533
"172","01051031000","1400000US01051031000",3,6516,0.460405156537753
"173","01051031100","1400000US01051031100",2,4221,0.473821369343757
"174","01051031200","1400000US01051031200",1,1809,0.552791597567717
"175","01051031300","1400000US01051031300",5,3968,1.26008064516129
"176","01053969800","1400000US01053969800",2,5955,0.335852225020991
"177","01053969900","1400000US01053969900",3,4361,0.687915615684476
"178","01053970100","1400000US01053970100",22,4516,4.87156775907883
"179","01053970200","1400000US01053970200",5,1739,2.87521564117309
"180","01053970300","1400000US01053970300",1,3632,0.275330396475771
"181","01053970400","1400000US01053970400",3,5744,0.522284122562674
"182","01053970500","1400000US01053970500",10,4819,2.07511931936086
"183","01053970600","1400000US01053970600",10,4035,2.47831474597274
"184","01053970700","1400000US01053970700",17,3518,4.83229107447413
"185","01055000200","1400000US01055000200",4,3660,1.09289617486339
"186","01055000300","1400000US01055000300",5,2684,1.8628912071535
"187","01055000500","1400000US01055000500",3,1814,1.65380374862183
"188","01055000600","1400000US01055000600",1,1964,0.509164969450102
"189","01055000700","1400000US01055000700",2,1376,1.45348837209302
"190","01055000800","1400000US01055000800",1,1089,0.918273645546373
"191","01055000900","1400000US01055000900",6,2698,2.2238695329874
"192","01055001000","1400000US01055001000",1,1286,0.777604976671851
"193","01055001100","1400000US01055001100",14,4729,2.96045675618524
"194","01055001200","1400000US01055001200",2,3546,0.564015792442188
"195","01055001300","1400000US01055001300",1,2571,0.388953714507974
"196","01055001600","1400000US01055001600",5,3524,1.41884222474461
"197","01055001700","1400000US01055001700",1,1638,0.610500610500611
"198","01055010200","1400000US01055010200",3,5518,0.54367524465386
"199","01055010300","1400000US01055010300",1,2918,0.342700479780672
"200","01055010402","1400000US01055010402",3,5504,0.545058139534884
"201","01055010502","1400000US01055010502",5,4988,1.00240577385726
"202","01055010700","1400000US01055010700",4,3769,1.06128946670204
"203","01055010800","1400000US01055010800",1,2953,0.338638672536404
"204","01055011100","1400000US01055011100",4,5302,0.754432289701999
"205","01055011200","1400000US01055011200",3,2934,1.02249488752556
"206","01057020100","1400000US01057020100",2,3669,0.545107658762606
"207","01057020200","1400000US01057020200",2,4499,0.444543231829295
"208","01057020300","1400000US01057020300",3,4054,0.740009866798224
"209","01059973400","1400000US01059973400",1,2652,0.377073906485671
"210","01061050100","1400000US01061050100",1,5098,0.196155355041193
"211","01061050400","1400000US01061050400",3,5907,0.507872016251904
"212","01061050500","1400000US01061050500",2,4288,0.466417910447761
"213","01063060200","1400000US01063060200",2,2821,0.708968450903935
"214","01065040500","1400000US01065040500",1,1562,0.640204865556978
"215","01067030200","1400000US01067030200",1,2962,0.337609723160027
"216","01067030500","1400000US01067030500",2,5951,0.336077970089061
"217","01069040100","1400000US01069040100",1,4949,0.202061022428773
"218","01069040201","1400000US01069040201",4,9001,0.444395067214754
"219","01069040202","1400000US01069040202",13,8142,1.59665929746991
"220","01069040301","1400000US01069040301",2,3928,0.509164969450102
"221","01069040302","1400000US01069040302",2,3589,0.557258289217052
"222","01069040500","1400000US01069040500",4,3458,1.15673799884326
"223","01069040600","1400000US01069040600",7,2471,2.8328611898017
"224","01069040700","1400000US01069040700",1,2662,0.375657400450789
