,tractid,id,N,population,fire_per_1000
1,1001020100,1400000US01001020100,2,1912,1.046025105
2,1001020200,1400000US01001020200,1,2170,0.460829493
3,1001020300,1400000US01001020300,1,3373,0.296471983
4,1001020400,1400000US01001020400,1,4386,0.227998176
5,1001020500,1400000US01001020500,7,10766,0.650195059
6,1001020600,1400000US01001020600,3,3668,0.817884406
7,1001020700,1400000US01001020700,5,2891,1.729505361
8,1001020801,1400000US01001020801,2,3081,0.64913989
9,1001020802,1400000US01001020802,11,10435,1.054144705
10,1001021000,1400000US01001021000,3,2894,1.036627505
11,1001021100,1400000US01001021100,2,3320,0.602409639
12,1003010300,1400000US01003010300,5,7826,0.638895988
13,1003010400,1400000US01003010400,5,4736,1.055743243
14,1003010500,1400000US01003010500,13,4815,2.699896158
15,1003010600,1400000US01003010600,3,3325,0.902255639
16,1003010701,1400000US01003010701,4,7882,0.50748541
17,1003010703,1400000US01003010703,7,13166,0.53167249
18,1003010704,1400000US01003010704,1,5055,0.197823937
19,1003010705,1400000US01003010705,7,8331,0.840235266
20,1003010800,1400000US01003010800,9,6861,1.311762134
21,1003010903,1400000US01003010903,5,5173,0.966557124
22,1003010904,1400000US01003010904,6,6831,0.878348704
23,1003010905,1400000US01003010905,6,8011,0.748970166
24,1003010906,1400000US01003010906,3,4302,0.69735007
25,1003011000,1400000US01003011000,1,4305,0.232288037
26,1003011101,1400000US01003011101,3,8397,0.357270454
27,1003011102,1400000US01003011102,2,3715,0.538358008
28,1003011201,1400000US01003011201,2,4230,0.472813239
29,1003011202,1400000US01003011202,8,5065,1.57946693
30,1003011300,1400000US01003011300,6,4487,1.337196345
31,1003011401,1400000US01003011401,3,10632,0.282167043
32,1003011403,1400000US01003011403,6,9131,0.657102179
33,1003011405,1400000US01003011405,2,3832,0.521920668
34,1003011406,1400000US01003011406,4,3412,1.172332943
35,1003011407,1400000US01003011407,11,4799,2.292144197
36,1003011601,1400000US01003011601,7,6062,1.154734411
37,1003011602,1400000US01003011602,24,4895,4.902962206
38,1005950100,1400000US01005950100,2,3321,0.602228245
39,1005950200,1400000US01005950200,14,4264,3.283302064
40,1005950300,1400000US01005950300,14,1638,8.547008547
41,1005950400,1400000US01005950400,14,4303,3.253544039
42,1005950500,1400000US01005950500,1,3467,0.288433804
43,1005950600,1400000US01005950600,2,2099,0.952834683
44,1005950800,1400000US01005950800,1,2055,0.486618005
45,1005950900,1400000US01005950900,2,4583,0.436395374
46,1007010002,1400000US01007010002,1,6025,0.165975104
47,1007010003,1400000US01007010003,2,5391,0.370988685
48,1007010004,1400000US01007010004,1,8767,0.114064104
49,1009050101,1400000US01009050101,13,7858,1.654364978
50,1009050102,1400000US01009050102,8,7050,1.134751773
51,1009050200,1400000US01009050200,9,3789,2.375296912
52,1009050300,1400000US01009050300,22,5269,4.175365344
53,1009050400,1400000US01009050400,16,4451,3.594697821
54,1009050500,1400000US01009050500,16,7329,2.1831082
55,1009050601,1400000US01009050601,5,3922,1.274859765
56,1009050602,1400000US01009050602,2,8923,0.224139863
57,1009050700,1400000US01009050700,1,8731,0.114534418
58,1011952100,1400000US01011952100,1,1434,0.69735007
59,1013952700,1400000US01013952700,4,2439,1.6400164
60,1013952900,1400000US01013952900,1,2180,0.458715596
61,1013953000,1400000US01013953000,4,1469,2.722940776
62,1013953100,1400000US01013953100,1,3023,0.330797221
63,1013953200,1400000US01013953200,6,4327,1.386642015
64,1013953300,1400000US01013953300,5,1774,2.81848929
65,1013953400,1400000US01013953400,1,2931,0.341180484
66,1013953500,1400000US01013953500,4,1410,2.836879433
67,1015000700,1400000US01015000700,2,2715,0.73664825
68,1015001201,1400000US01015001201,2,3482,0.574382539
69,1015001400,1400000US01015001400,2,3731,0.536049317
70,1015001500,1400000US01015001500,9,5198,1.731435167
71,1015001800,1400000US01015001800,13,6919,1.878884232
72,1015002000,1400000US01015002000,6,7335,0.81799591
73,1015002101,1400000US01015002101,2,3992,0.501002004
74,1015002102,1400000US01015002102,1,3411,0.293169159
75,1015002103,1400000US01015002103,1,6801,0.1470372
76,1015002300,1400000US01015002300,3,3843,0.780640125
77,1015002400,1400000US01015002400,2,4518,0.442673749
78,1015002501,1400000US01015002501,4,7069,0.565850898
79,1015002502,1400000US01015002502,2,4661,0.429092469
80,1015002600,1400000US01015002600,1,4615,0.216684724
81,1017953800,1400000US01017953800,2,3619,0.552638851
82,1017953900,1400000US01017953900,3,2900,1.034482759
83,1017954000,1400000US01017954000,2,6669,0.299895037
84,1017954200,1400000US01017954200,8,3257,2.456248081
85,1017954300,1400000US01017954300,3,4708,0.637213254
86,1017954400,1400000US01017954400,3,995,3.015075377
87,1017954500,1400000US01017954500,8,3804,2.103049422
88,1017954700,1400000US01017954700,3,4852,0.618301731
89,1019955701,1400000US01019955701,3,3332,0.900360144
90,1019955702,1400000US01019955702,4,3872,1.033057851
91,1019955800,1400000US01019955800,5,5561,0.899118864
92,1019955900,1400000US01019955900,9,4235,2.12514758
93,1019956100,1400000US01019956100,8,4972,1.609010459
94,1021060101,1400000US01021060101,11,5219,2.107683464
95,1021060102,1400000US01021060102,4,6303,0.634618436
96,1021060200,1400000US01021060200,9,2807,3.206270039
97,1021060300,1400000US01021060300,1,3808,0.262605042
98,1021060401,1400000US01021060401,10,5466,1.829491401
99,1021060402,1400000US01021060402,5,8776,0.569735643
100,1021060500,1400000US01021060500,2,2902,0.689179876
101,1021060600,1400000US01021060600,1,3261,0.3066544
102,1021060700,1400000US01021060700,10,5101,1.960399922
103,1023956800,1400000US01023956800,4,4423,0.904363554
104,1023956900,1400000US01023956900,9,3879,2.320185615
105,1025957901,1400000US01025957901,1,3493,0.286286859
106,1025957902,1400000US01025957902,1,4230,0.236406619
107,1027958900,1400000US01027958900,4,5324,0.751314801
108,1027959000,1400000US01027959000,2,3224,0.620347395
109,1027959100,1400000US01027959100,1,2904,0.344352617
110,1029959600,1400000US01029959600,6,4202,1.42789148
111,1029959700,1400000US01029959700,12,3419,3.509798187
112,1029959800,1400000US01029959800,15,4667,3.214056139
113,1031010200,1400000US01031010200,1,1841,0.543183053
114,1031010300,1400000US01031010300,1,4258,0.234852043
115,1031010400,1400000US01031010400,1,2152,0.464684015
116,1031010600,1400000US01031010600,1,1561,0.64061499
117,1031010700,1400000US01031010700,3,2286,1.312335958
118,1031010800,1400000US01031010800,2,2840,0.704225352
119,1031010900,1400000US01031010900,9,2117,4.251299008
120,1031011000,1400000US01031011000,6,3526,1.701644923
121,1031011100,1400000US01031011100,4,2026,1.974333662
122,1031011201,1400000US01031011201,4,8036,0.49776008
123,1031011202,1400000US01031011202,6,8530,0.703399766
124,1031011300,1400000US01031011300,12,4160,2.884615385
125,1033020100,1400000US01033020100,9,3467,2.59590424
126,1033020200,1400000US01033020200,1,1957,0.510986203
127,1033020300,1400000US01033020300,4,2032,1.968503937
128,1033020701,1400000US01033020701,5,6103,0.819269212
129,1033020703,1400000US01033020703,3,5175,0.579710145
130,1033020704,1400000US01033020704,5,4321,1.157139551
131,1033020801,1400000US01033020801,4,4487,0.89146423
132,1033021000,1400000US01033021000,1,3942,0.253678336
133,1035960200,1400000US01035960200,9,1808,4.977876106
134,1035960300,1400000US01035960300,2,1731,1.155401502
