risk_1a,state,cnty,tract,geoid2
0.72885141,5,15,950500,5015950500
0.712211495,5,33,20302,5033020302
0.630967917,5,45,30702,5045030702
0.72272216,5,57,480500,5057480500
0.761645386,5,85,20103,5085020103
0.73734216,5,131,502,5131000502
0.815505218,4,13,422513,4013422513
0.754991495,4,19,4427,4019004427
0.85518637,4,19,4645,4019004645
0.779416211,6,13,311000,6013311000
0.673636845,6,29,1902,6029001902
0.554806819,6,37,272202,6037272202
0.731267622,6,37,577603,6037577603
0.763726127,6,37,602003,6037602003
0.744573641,6,37,670403,6037670403
0.825187418,6,59,52506,6059052506
0.742373138,6,71,9717,6071009717
0.741643225,6,73,10112,6073010112
0.77933465,6,73,10300,6073010300
0.758759336,6,73,17010,6073017010
0.830865283,6,77,5134,6077005134
0.788310379,6,81,607300,6081607300
0.755519326,6,85,500100,6085500100
0.740739001,6,103,400,6103000400
0.733944021,6,111,8303,6111008303
0.661355371,8,5,5626,8005005626
0.722519249,8,31,302,8031000302
0.74935896,9,1,11300,9001011300
0.6706567,9,3,417400,9003417400
0.662251307,10,3,16200,10003016200
0.582710436,12,1,1517,12001001517
0.787306783,12,11,60113,12011060113
0.763194973,12,31,16807,12031016807
0.623076133,12,57,11710,12057011710
0.715681117,12,71,30202,12071030202
0.672066464,12,86,3003,12086003003
0.711128364,12,87,972300,12087972300
0.71740569,12,91,22800,12091022800
0.735989518,12,99,2400,12099002400
0.808282843,13,51,3502,13051003502
0.790387343,13,67,31112,13067031112
0.806431538,13,165,960200,13165960200
0.818130572,13,211,10300,13211010300
0.652873988,19,153,10408,19153010408
0.728464203,16,55,1100,16055001100
0.715547282,17,31,110501,17031110501
0.696327153,17,167,800,17167000800
0.682978134,18,5,10500,18005010500
0.769515697,18,31,969200,18031969200
0.683390832,18,85,961900,18085961900
0.684243016,18,95,11100,18095011100
0.78696919,20,37,956600,20037956600
0.71371702,21,37,51200,21037051200
0.720174779,21,199,930200,21199930200
0.81555695,22,17,23300,22017023300
0.726055709,22,45,30500,22045030500
0.718996156,22,71,9600,22071009600
0.695151674,22,71,11600,22071011600
0.72417626,25,21,419700,25021419700
0.75019943,25,23,511000,25023511000
0.738974082,25,25,50200,25025050200
0.67554599,25,27,758101,25027758101
0.615675762,25,27,761400,25027761400
0.717565757,24,5,430900,24005430900
0.755861691,24,31,701505,24031701505
0.731171964,24,31,702402,24031702402
0.730548061,26,33,970800,26033970800
0.845805026,26,49,10811,26049010811
0.677119633,26,147,631600,26147631600
0.796436016,26,163,522200,26163522200
0.704924857,26,163,544100,26163544100
0.737071587,27,53,300,27053000300
0.763244136,27,109,902,27109000902
0.765036127,27,133,570300,27133570300
0.785260389,29,159,480200,29159480200
0.780808523,29,195,90200,29195090200
0.841138429,28,121,20101,28121020101
0.815354525,28,135,950100,28135950100
0.717154752,37,119,5100,37119005100
0.797805025,37,125,951200,37125951200
0.719974591,37,179,21005,37179021005
0.744010378,34,1,500,34001000500
0.710517824,34,3,8000,34003008000
0.749598795,34,7,607502,34007607502
0.578962436,34,13,11900,34013011900
0.760647183,34,17,200,34017000200
0.761688015,35,45,706,35045000706
0.666044497,32,3,2969,32003002969
0.71154482,32,31,1010,32031001010
0.663270171,36,47,14000,36047014000
0.647194747,36,47,62600,36047062600
0.610267105,36,61,25100,36061025100
0.675283451,36,83,52603,36083052603
0.684543844,36,113,70400,36113070400
0.709083607,39,35,106800,39035106800
0.761351523,39,35,119900,39035119900
0.649921119,39,49,7043,39049007043
0.759203815,39,65,700,39065000700
0.753985079,39,95,4200,39095004200
