bg_geoid,smsa,natl_score,msa_score,smoke_alarm_risk,bg_at_risk_pop,bg_pop,pop_density
10730001001,1000,0.318210887,0.699497459,0.508854173,0.152542373,58,
10730001002,1000,0.762438883,0.931954407,0.847196645,0.142857143,70,
10730001003,1000,0.818709127,0.931954407,0.875331767,0.064,56,
10730001004,1000,0.701313581,0.867169213,0.784241397,0.059945504,24,
10730001005,1000,0.319316134,0.931954407,0.625635271,0.197452229,32,
10730003001,1000,0.746664781,0.903884073,0.825274427,0.092293054,67,
10730003002,1000,0.736509617,0.699497459,0.718003538,0.138353765,37,
10730003003,1000,0.73503714,0.888315618,0.811676379,0.23880597,49,
10730004001,1000,0.692013139,0.931954407,0.811983773,0.219339623,64,
10730004002,1000,0.535284719,0.931954407,0.733619563,0.115308151,50,
10730004003,1000,0.731707663,0.707859126,0.719783394,0.174045802,58,
10730004004,1000,0.76128395,0.931954407,0.846619179,0.18488529,47,
10730004005,1000,0.701634286,0.903884073,0.80275918,0.120309051,58,
10730005001,1000,0.572142736,0.903884073,0.738013405,0.114087302,72,
10730005002,1000,0.609444723,0.699497459,0.654471091,0.191780822,49,
10730005003,1000,0.693896888,0.931954407,0.812925648,0.101351351,46,
10730005004,1000,0.852345319,0.931954407,0.892149863,0.286744815,88,
10730007001,1000,0.670103658,0.812609829,0.741356743,0.31043257,37,
10730007002,1000,0.728619457,0.627324274,0.677971865,0.231508876,96,
10730007003,1000,0.711089297,0.931954407,0.821521852,0.279104478,74,
10730008001,1000,0.55614721,0.903884073,0.730015642,0.323869611,69,
10730008002,1000,0.91817816,0.931954407,0.925066284,0.25921522,69,
10730008003,1000,0.878870632,0.931954407,0.90541252,0.225058005,63,
10730008004,1000,0.578478061,0.662777304,0.620627683,0.212283044,37,
10730008005,1000,0.568427524,0.699497459,0.633962491,0.162983425,44,
10730011001,1000,0.785913001,0.931954407,0.858933704,0.177272727,39,
10730011002,1000,0.551857501,0.807071703,0.679464602,0.209150327,47,
10730011003,1000,0.779962499,0.763789735,0.771876117,0.187412587,40,
10730011004,1000,0.604095591,0.903884073,0.753989832,0.401079137,16,
10730011005,1000,0.407582351,0.867169213,0.637375782,0.067219917,49,
10730011006,1000,0.751671637,0.931954407,0.841813022,0.302835052,21,
10730012001,1000,0.605310529,0.707859126,0.656584827,0.168177241,77,
10730012002,1000,0.488696304,0.931954407,0.710325356,0.212514758,65,
